Key,comment,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,
AmbientColor_Desc,Setting Description,環境光の色を設定します。,Sets the color of the ambient light.,设置环境光的颜色。,設定環境光的顏色。,환경광의 색상을 설정합니다.,Establece el color de la luz ambiental.,يحدد لون الضوء المحيط.,
DiffuseIntensity,Setting Label,拡散反射強度,Diffuse Intensity,漫反射强度,漫反射強度,확산 반사 강도,Intensidad difusa,كثافة الانتشار,
DiffuseIntensity_Desc,Setting Description,光の拡散反射の強さを設定します。,Sets the intensity of diffuse reflection.,设置光的漫反射强度。,設定光的漫反射強度。,빛의 확산 반사 강도를 설정합니다.,Establece la intensidad de la reflexión difusa.,يحدد كثافة الانعكاس المنتشر للضوء.,
SpecularIntensity,Setting Label,鏡面反射強度,Specular Intensity,镜面反射强度,鏡面反射強度,정반사 강도,Intensidad especular,كثافة الانعكاس,
SpecularIntensity_Desc,Setting Description,光の鏡面反射(ハイライト)の強さを設定します。,Sets the intensity of specular reflection (highlights).,设置光的镜面反射（高光）强度。,設定光的鏡面反射（高光）強度。,빛의 정반사(하이라이트) 강도를 설정합니다.,Establece la intensidad de la reflexión especular (resaltados).,يحدد كثافة الانعكاس المرآوي (الإضاءة الساطعة).,
Shininess,Setting Label,光沢度,Shininess,光泽度,光澤度,광택도,Brillo,لمعان,
Shininess_Desc,Setting Description,ハイライトの鋭さを設定します。値が大きいほど鋭くなります。,Sets the sharpness of highlights. Higher values mean sharper highlights.,设置高光的锐度。值越大越锐利。,設定高光的銳利度。值越大越銳利。,하이라이트의 선명도를 설정합니다. 값이 클수록 선명해집니다.,Establece la nitidez de los resaltados. Los valores más altos significan resaltados más nítidos.,يحدد حدة الإضاءة الساطعة. القيم الأعلى تعني إضاءة أكثر حدة.,
Group_Environment,Group Title,環境,Environment,环境,環境,환경,Entorno,بيئة,
LightColor,Setting Label,ライト色,Light Color,光源颜色,光源顏色,조명 색상,Color de la luz,لون الضوء,
LightColor_Desc,Setting Description,光源の色を設定します。,Sets the color of the light source.,设置光源的颜色。,設定光源的顏色。,광원의 색상을 설정합니다.,Establece el color de la fuente de luz.,يحدد لون مصدر الضوء.,
ResetDefaults,Button Label,初期値に戻す,Reset to Defaults,恢复默认值,恢復預設值,기본값으로 복원,Restablecer valores predeterminados,إعادة تعيين الافتراضيات,
OK,Button Label,OK,OK,确定,確定,확인,Aceptar,موافق,
Cancel,Button Label,キャンセル,Cancel,取消,取消,취소,Cancelar,إلغاء,
Group_Model,Group Title,モデル,Model,模型,模型,모델,Modelo,نموذج,
Setting,Setting Label,設定,Settings,设置,設定,설정,Configuración,إعدادات,
File,Setting Label,ファイル,File,文件,檔案,파일,Archivo,ملف,
File_Desc,Setting Description,読み込む3Dモデルファイルを指定します。(obj, pmx, stl, glb, ply, 3mf),Specifies the 3D model file to load. (obj, pmx, stl, glb, ply, 3mf),指定要加载的3D模型文件。(obj, pmx, stl, glb, ply, 3mf),指定要載入的3D模型檔案。(obj, pmx, stl, glb, ply, 3mf),로드할 3D 모델 파일을 지정합니다. (obj, pmx, stl, glb, ply, 3mf),Especifica el archivo de modelo 3D a cargar. (obj, pmx, stl, glb, ply, 3mf),يحدد ملف النموذج ثلاثي الأبعاد للتحميل. (obj, pmx, stl, glb, ply, 3mf),
BaseColor,Setting Label,基本色,Base Color,基本色,基本色,기본 색상,Color base,اللون الأساسي,
Projection,Setting Label,投影方法,Projection,投影方法,投影方法,투영 방법,Proyección,إسقاط,
Group_Display,Group Title,表示,Display,显示,顯示,표시,Visualización,عرض,
ScreenWidth,Setting Label,画面幅,Screen Width,屏幕宽度,螢幕寬度,화면 너비,Ancho de pantalla,عرض الشاشة,
ScreenHeight,Setting Label,画面高さ,Screen Height,屏幕高度,螢幕高度,화면 높이,Altura de pantalla,ارتفاع الشاشة,
Group_Placement,Group Title,配置,Placement,配置,配置,배치,Colocación,توضيع,
X,Setting Label,位置 X,Position X,位置 X,位置 X,위치 X,Posición X,الموضع س,
Y,Setting Label,位置 Y,Position Y,位置 Y,位置 Y,위치 Y,Posición Y,الموضع ص,
Z,Setting Label,位置 Z,Position Z,位置 Z,位置 Z,위치 Z,Posición Z,الموضع ع,
Fov,Setting Label,視野角,Field of View,视野角,視野角,시야각,Campo de visión,مجال الرؤية,
Scale,Setting Label,スケール,Scale,缩放,縮放,배율,Escala,مقياس,
RotationX,Setting Label,回転 X,Rotation X,旋转 X,旋轉 X,회전 X,Rotación X,تدوير س,
RotationY,Setting Label,回転 Y,Rotation Y,旋转 Y,旋轉 Y,회전 Y,Rotación Y,تدوير ص,
RotationZ,Setting Label,回転 Z,Rotation Z,旋轉 Z,회전 Z,Rotación Z,تدوير ع,
ResetTrigger,Setting Label,リセット,Reset,重置,重置,재설정,Restablecer,إعادة تعيين,
Group_Light,Group Title,ライト,Light,灯光,燈光,조명,Luz,ضوء,
IsLightEnabled,Setting Label,有効,Enabled,启用,啟用,활성화,Habilitado,ممكن,
LightX,Setting Label,位置 X,Position X,位置 X,位置 X,위치 X,Posición X,الموضع س,
LightY,Setting Label,位置 Y,Position Y,位置 Y,位置 Y,위치 Y,Posición Y,الموضع ص,
LightZ,Setting Label,位置 Z,Position Z,位置 Z,位置 Z,위치 Z,Posición Z,الموضع ع,
Projection_Parallel,Enum Value,平行投影,Parallel Projection,平行投影,平行投影,평행 투영,Proyección paralela,إسقاط متوازي,
Projection_Perspective,Enum Value,透視投影,Perspective Projection,透视投影,透視投影,원근 투영,Proyección en perspectiva,إسقاط منظوري,
ResetTransform,Button Content,変形をリセット,Reset Transform,重置变形,重置變形,변형 재설정,Restablecer transformación,إعادة تعيين التحويل,
SettingsTitle,Window Title,設定,Settings,设置,設定,설정,Configuración,إعدادات,
On,Boolean Value,On,On,开,開,켜짐,Encendido,تشغيل,
Off,Boolean Value,Off,Off,关,關,꺼짐,Apagado,إيقاف,
UpdateAvailableTitle,Message Box Title,アップデート利用可能,Update Available,更新可用,更新可用,업데이트 가능,Actualización disponible,تحديث متاح,
UpdateAvailableMessage,Message Box Text,新しいバージョン ({0}) が利用可能です。ダウンロードページを開きますか？,A new version ({0}) is available. Do you want to open the download page?,新版本 ({0}) 可用。是否打开下载页面？,新版本 ({0}) 可用。是否打開下載頁面？,새 버전 ({0})을 사용할 수 있습니다. 다운로드 페이지를 여시겠습니까?,Hay una nueva versión ({0}) disponible. ¿Desea abrir la página de descarga?,يتوفر إصدار جديد ({0}). هل تريد فتح صفحة التنزيل؟,
DracoNotSupported,DracoNotSupported,Draco圧縮されたファイルには対応していません,Draco compression is not supported,Draco compression is not supported,Draco compression is not supported,Draco compression is not supported,Draco compression is not supported,Draco compression is not supported,
WorldId,Setting Label,ワールドID,World ID,世界ID,世界ID,월드 ID,ID de mundo,معرف العالم,
CameraSettings,Window Title,カメラ設定,Camera Settings,相机设置,相機設定,카메라 설정,Configuración de la cámara,إعدادات الكاميرا,
OpenCameraWindow,Button Label,カメラ位置設定,Camera Position,相机位置,相機位置,카메라 위치,Posición de la cámara,موضع الكاميرا,
Grid,CheckBox Label,グリッド,Grid,网格,網格,그리드,Cuadrícula,شبكة,
ResetCamera,Button Label,カメラリセット,Reset Camera,重置相机,重置相機,카메라 재설정,Restablecer cámara,إعادة تعيين الكاميرا,
CameraPos,Group Title,カメラ位置,Camera Position,相机位置,相機位置,카메라 위치,Posición de la cámara,موضع الكاميرا,
CameraTarget,Group Title,注視点,Target,目标,目標,목표,Objetivo,الهدف,
ViewFront,Button Label,前,Front,前,前,앞,Frente,أمام,
ViewBack,Button Label,後,Back,后,後,뒤,Atrás,خلف,
ViewLeft,Button Label,左,Left,左,左,왼쪽,Izquierda,يسار,
ViewRight,Button Label,右,Right,右,右,오른쪽,Derecha,يمين,
ViewTop,Button Label,上,Top,上,上,위,Arriba,أعلى,
ViewBottom,Button Label,下,Bottom,下,下,아래,Abajo,أسفل,
ViewIsoFrontRight,Button Label,斜め(前右),Iso(FR),斜向(前右),斜向(前右),대각선(앞우),Iso(FR),قطري(أمام يمين),
ViewIsoFrontLeft,Button Label,斜め(前左),Iso(FL),斜向(前左),斜向(前左),대각선(앞좌),Iso(FL),قطري(أمام يسار),
ViewIsoBackRight,Button Label,斜め(後右),Iso(BR),斜向(后右),斜向(後右),대각선(뒤우),Iso(BR),قطري(خلف يمين),
ViewIsoBackLeft,Button Label,斜め(後左),Iso(BL),斜向(后左),斜向(後左),대각선(뒤좌),Iso(BL),قطري(خلف يسار),
